""	"Bifidobacterium"	"Subdoligranulum"	"Faecalibacterium"	"Escherichia_Shigella"	"Bacteroides"	"Akkermansia"	"Agathobacter"	"Blautia"	"Klebsiella"	"Collinsella"	"Lactobacillus"	"coprostanoligenes_group"	"Clostridium_sensu_stricto_1"	"Roseburia"	"Prevotella"	"CAG_352"	"Enterobacter"	"Streptococcus"	"Dialister"	"Christensenellaceae_R_7_group"	"Alistipes"	"torques_group"	"Lachnoclostridium"	"Parabacteroides"	"UCG_002"	"gnavus_group"	"Romboutsia"	"Veillonella"	"Coprococcus"	"Erysipelatoclostridium"	"Enterococcus"	"Monoglobus"	"UBA1819"	"Ruminococcus"	"Clostridia_UCG_014"	"Lachnospiraceae_NK4A136_group"	"Megasphaera"	"Butyricicoccus"	"Fusicatenibacter"	"Anaerostipes"	"Methanobrevibacter"	"UCG_005"	"Dorea"	"Phascolarctobacterium"	"Erysipelotrichaceae_UCG_003"	"Incertae_Sedis"	"Eisenbergiella"	"eligens_group"	"hallii_group"	"Flavonifractor"
"Lactobacillus"	0.00127936892446553	0.479735769212275	0.0803959957394088	0.570026465950387	0.135663902622429	0.554989136079956	0.736047203350577	0.01000735611674	0.737653815483185	0.456808991556859	0	0.0634188964308095	0.412579546737177	0.210678671787877	0.547014498095141	0.80424308889636	0.769228244960019	4.26414331244227e-08	0.399589999239041	0.453972855577845	0.00953318554267459	0.0237200215780171	0.0169211536592698	0.704666363576421	0.921737641925496	0.753207768011847	0.501352598306065	0.0187621942228171	0.544552252282143	0.361194718205827	0.936408459596917	0.232939194066784	0.00236364256874418	0.146918359696731	0.264145101936364	0.0649172874346376	5.20599793845052e-05	0.00110797701775651	0.210662273358787	0.127614353668267	0.951168675998451	0.981932904203718	0.344869141037088	0.0703807632442002	0.797595204454686	0.0969628043323734	0.00382671011757338	0.735218157976693	0.175877718971371	0.0671486526427442
"coprostanoligenes_group"	0.229433193312897	4.96269584223165e-07	2.61322208614784e-08	0.266060062911381	0.00284303650369066	0.0633207617121659	5.14919217031808e-09	6.01085037274392e-05	0.00225063692680328	0.00575109015431871	0.0634188964308095	0	0.199839936604582	2.68545040990152e-15	3.74295399754618e-07	0.00338321868539627	0.83973338654322	0.0116023445383248	0.00553375506361781	1.19885870933002e-22	4.2670496569847e-15	0.000230828386917019	0.584289182871538	4.23389247226266e-05	8.37366976896053e-20	0.000235385946048099	0.473933804241722	0.0186722937838312	5.20067973709524e-15	0.0713786287461736	0.000400304824742163	2.65183986084937e-06	2.54919414823333e-07	2.11727710942172e-19	2.55623612988145e-08	6.13393103474792e-15	0.832781766656402	0.00907828880249935	1.74271649051228e-05	0.0101316215039606	0.000297085465433034	2.22537503610081e-19	1.10457332754713e-09	0.00130900198003077	9.69247952628139e-05	4.21439571044762e-06	0.140111497519252	9.41703258315554e-06	0.0519693463722487	0.691603405175496
"Clostridium_sensu_stricto_1"	0.0156063255241109	0.195706612557983	0.142902304271673	0.538634838746976	0.805598573789065	0.029803851744714	0.000776083511007849	0.533616695965165	0.434982657286897	0.644559288601181	0.412579546737177	0.199839936604582	0	0.0357100180086737	0.111768968349387	0.0243130819581603	0.000624255446848186	0.176767922541913	0.000181458564679923	0.427397730768826	0.849764353146227	0.182528000503394	0.720569435965309	0.624924023972187	0.558106775631212	0.649142153074009	1.41306089319265e-12	0.482020896157204	0.0569238013648763	0.321357912303975	0.00544382166222592	0.0293732844259861	0.0410820312785347	0.0251317270554839	0.000100626792315474	0.00326536417433504	0.963371497023348	0.222848974521385	0.0900971739277536	0.450021916757554	0.908999380054212	0.76670170019814	0.172612895098069	0.458057906619522	0.00153878078844278	0.56364529157974	0.269469429835567	0.102028724366826	0.0128293416867473	0.512353368165436
"Roseburia"	0.00650378740503146	4.23668751331912e-10	1.33529384106938e-21	0.0728644478041981	0.000297481446737592	0.202674707799448	3.30617187719707e-14	0.00194890725058937	0.0549465723512395	0.226260486734465	0.210678671787877	2.68545040990152e-15	0.0357100180086737	0	1.86204210059564e-06	0.0029546049310757	0.0965692600018749	0.0754412582236842	3.17609349374193e-07	1.39163740621928e-07	6.95989411872032e-06	0.00488586462221565	0.228457911748999	0.000468784996714322	4.25966178347921e-16	2.48323228459466e-08	0.00546312555455757	0.308696165275414	1.18933201427036e-20	3.43902779555735e-08	1.92831757926341e-06	8.56423338463489e-09	0.281600905675493	2.15316682823928e-16	8.0694731664977e-08	6.85778271757151e-25	0.912264967317352	5.00842549095041e-08	2.26784259694016e-12	0.000174405343667036	0.146373523953427	1.23167276680382e-10	8.28865765441297e-17	0.292289087854661	1.22400659197648e-12	0.67033078201873	0.0462066417030607	7.87363221086383e-10	0.000290455371368443	0.774139040852806
"Prevotella"	0.00613888478277662	0.00025586281557961	6.34148606334265e-06	0.155493444364346	0.14002629106159	0.185206273599206	1.51637152744956e-05	0.177533764893549	0.170378512849415	0.0351131801669267	0.547014498095141	3.74295399754618e-07	0.111768968349387	1.86204210059564e-06	0	0.219972469715129	0.285901977586079	0.179613096699501	0.00421683608229341	5.26370753040297e-05	0.000134990929105619	0.017548386730019	0.000627352037524644	0.00154247338338207	1.10286339238797e-07	0.000725023503042153	0.0592076041876673	0.512045355877148	3.74819271025574e-11	0.00420606386162652	0.00725280559114474	0.143082010203193	0.740024925691521	8.77655093161482e-05	1.41264494721066e-06	4.24022583543634e-07	0.938768030066794	0.0175134005859287	0.00916245746293488	0.499238722420359	0.179982580290337	8.13959461146117e-06	3.80553530056995e-08	0.216200793254278	0.0850509876895596	0.18578829527358	0.00523060690127321	0.00130524330696836	0.240684799231037	0.00125414382070506
"CAG_352"	0.0148986683299302	0.0712218033439392	0.0160968143522012	0.610643433632386	0.996207454781632	0.562364686405795	8.52607015426166e-05	0.0489924687073531	0.804974454025122	0.330904471715701	0.80424308889636	0.00338321868539627	0.0243130819581603	0.0029546049310757	0.219972469715129	0	0.421519549785736	0.413131564764537	0.504909057282224	0.0110308071669959	0.190527362444887	0.639002458305007	0.475079925275949	0.753333095348123	0.00240137732239976	0.10975578367918	0.111047860680304	0.693152347580312	0.000621630546314999	0.435782408770266	0.0418715611717711	0.00248694195610313	0.618779266552209	0.0974285274377569	0.000291876087541733	0.00664559689567763	0.597004964871245	0.0237817576173284	0.0268052942899841	0.178441678644777	0.857353747741282	0.0112412319417201	0.0963202713521122	0.057537770225944	0.0205792451290593	0.555033724348245	0.298436036566379	0.0066975190137661	0.2081739526434	0.170198144118281
"Enterobacter"	0.00120713150274043	0.115208183313869	0.145230531557084	0.647683448063965	0.0292638460359494	0.269105385936618	0.0907424215793221	0.89001171226618	7.09322145968515e-05	0.372749961579367	0.769228244960019	0.83973338654322	0.000624255446848186	0.0965692600018749	0.285901977586079	0.421519549785736	0	0.295834474432795	0.227942141181931	0.614873471058202	0.280492016799023	0.283160985788884	0.942961245456478	0.247734655619653	0.55756583416029	0.533183524002448	0.00526385877221009	0.130713538664551	0.107037830921242	0.0101665318172115	0.248388547305273	0.0522453453634949	0.275482155135439	0.228295433854517	0.1220239064222	0.00365811873222831	0.722978229904501	0.0622082009487171	0.975406085431381	0.478767078667254	0.527933922424149	0.318539491809293	0.244351898121079	0.800054736401657	0.293226136602064	0.622433704012874	0.612292425122259	0.47310126446408	0.199036325779334	0.716735606560369
"Streptococcus"	0.288237944988289	0.387611067740115	0.170365443538308	0.779472759455931	0.256273889386401	0.0765502478904446	0.533251566763022	0.897749343497842	0.261024527360602	0.19040242109384	4.26414331244227e-08	0.0116023445383248	0.176767922541913	0.0754412582236842	0.179613096699501	0.413131564764537	0.295834474432795	0	0.272511259657987	0.464222328564225	0.0498161566539706	0.478863833492436	0.19140485373511	0.351443148839573	0.29226733634894	0.130138100902502	0.00121428439485645	5.48797643901787e-07	0.656492970554002	0.254705004995334	0.578960504611702	0.420834827888547	0.218452700869689	0.685495399286852	0.651763585790411	0.457684434622618	0.308752637299599	0.788526247577567	0.439823199722884	0.097828960960556	0.316104315133688	0.430397673952056	0.0578378095237044	0.791103171721769	0.144719854124746	0.0762371024405168	0.0454145045612978	0.615739368423237	0.0120914807251408	0.243312980459279
"Dialister"	0.386871142983475	0.232512663715903	0.000109678147545769	0.484453835965949	0.0168391436817542	0.783052416846279	0.000178427206581829	0.143420843699019	0.482543299580944	0.033766833668704	0.399589999239041	0.00553375506361781	0.000181458564679923	3.17609349374193e-07	0.00421683608229341	0.504909057282224	0.227942141181931	0.272511259657987	0	0.117334583877985	0.0377929754388321	0.971224622509908	0.0917097164185742	0.135942258008616	0.0604565390054268	0.276656960509856	0.0367160262268872	0.0353798829943433	0.00230937320357968	0.0440829493082974	0.0131353046439531	0.0318658246518414	0.965950277211871	0.000516483259045813	0.0298557217230173	0.0178909856912226	0.00247047373905366	0.173450577378337	0.140524888693418	0.109224045238739	0.895515363706605	0.0580266039792631	0.015321591015748	0.054632823804233	0.177881473196762	0.957799115211153	0.963382910395476	0.00890138403894863	0.597938516015535	0.477408256035124
"Christensenellaceae_R_7_group"	0.272693444418658	4.75624155476262e-06	0.00435237458328629	0.475059457579656	0.116749788448523	0.027684561839304	0.00091731151032679	0.00132167804503062	0.00722529693941065	0.00126556744714455	0.453972855577845	1.19885870933002e-22	0.427397730768826	1.39163740621928e-07	5.26370753040297e-05	0.0110308071669959	0.614873471058202	0.464222328564225	0.117334583877985	0	6.69851809181406e-13	2.61627496743263e-05	0.230981687294015	4.09939137358055e-05	5.38485412259699e-19	0.00295873774379043	0.324648488202459	0.0107516932109051	1.76946392636575e-09	0.554449679148481	0.277918216617876	0.0126026820976108	9.4733733502373e-08	1.2611218976536e-12	3.96917667043296e-07	7.44931700670872e-06	0.966475287204492	0.407345372274742	0.0559029370690503	0.336350932842189	1.10115316934605e-08	7.98961074759564e-28	2.71705377245722e-07	2.84865716739234e-06	0.0305207447478485	2.97494435988125e-05	0.135071607532551	0.00388233218793233	0.143361919226076	0.0222211709892408
"Alistipes"	0.0434102585319981	0.000120865575712362	0.00049434827408141	0.587506421352625	4.54359872355112e-16	0.114024258087875	0.00185760797712797	0.224957271080189	0.596902008882708	0.240377464118377	0.00953318554267459	4.2670496569847e-15	0.849764353146227	6.95989411872032e-06	0.000134990929105619	0.190527362444887	0.280492016799023	0.0498161566539706	0.0377929754388321	6.69851809181406e-13	0	0.000119271071190252	0.5874358215418	1.45260552410297e-19	2.8196860517039e-12	0.136345097949012	0.276872459503517	0.0233014122198742	2.13683234818565e-05	0.186752462478208	0.343970421397367	0.0458663844337267	6.13764342519002e-13	3.70928608878756e-08	0.000460937445890668	7.75919798160814e-09	0.607053338596735	0.295284603384732	0.245603080043001	0.984589079582186	0.131543793592125	1.25573576442039e-12	0.0173112095847525	8.32953701529581e-06	0.642446281110538	3.90125294318298e-07	1.72303181793912e-06	0.00023559338608461	0.439309425052143	0.0202438766385279
"torques_group"	0.339849985498977	0.00020814259107446	0.000467950755851766	0.535713056151864	0.0033141298545901	0.339480770326196	0.0681978077053657	0.00143983305292155	0.377510720585276	0.0613514318693581	0.0237200215780171	0.000230828386917019	0.182528000503394	0.00488586462221565	0.017548386730019	0.639002458305007	0.283160985788884	0.478863833492436	0.971224622509908	2.61627496743263e-05	0.000119271071190252	0	0.639627560773946	0.0650930784508167	0.000116890992566705	0.579083529457122	0.687499554357467	0.187740640171338	4.95944403979617e-05	0.48573787455769	0.1093653327671	0.0459541777163397	0.000304675369774195	0.0044438576342267	0.476109393881776	0.000308614508155998	0.235990104088003	0.0846199581874422	0.000708325968190609	0.384553022735296	0.0834451639379808	2.79808249790452e-06	4.73294457824382e-05	0.00844883837079077	0.00942672845529357	0.0104710303184231	0.0128536223448548	0.996177404775898	0.00332126154253826	0.0780835623766007
"Lachnoclostridium"	0.751961852715537	0.0185698936416193	0.75492320563069	0.0243472377859798	0.000298198089895341	0.357417908959395	0.110973035048976	0.130323141176477	0.394610318633035	0.130225820116484	0.0169211536592698	0.584289182871538	0.720569435965309	0.228457911748999	0.000627352037524644	0.475079925275949	0.942961245456478	0.19140485373511	0.0917097164185742	0.230981687294015	0.5874358215418	0.639627560773946	0	0.259338055920368	0.0130514145944107	2.55865817856588e-10	0.657270253855574	0.821471703609391	0.000283184813886417	2.83888371961479e-08	0.259610792657405	0.602142470723386	0.00266761001427365	0.0207253005928599	0.0107214732330934	0.0693751652981161	0.337866751153608	0.155616423323048	0.219326765711777	0.36276990022818	0.0403077953742901	0.121353982247781	0.000220013272748281	0.289432608173576	0.0107437758168811	0.0217325972571243	5.0746257236479e-09	0.443676901504591	0.623616228822229	7.68087347256947e-08
"Parabacteroides"	0.0104900341001512	0.00975998178081645	0.00120918114927059	0.505924678157217	3.12642911804338e-22	0.687874628002137	0.0357271383642749	0.79965247288206	0.983925429820487	0.972053626382691	0.704666363576421	4.23389247226266e-05	0.624924023972187	0.000468784996714322	0.00154247338338207	0.753333095348123	0.247734655619653	0.351443148839573	0.135942258008616	4.09939137358055e-05	1.45260552410297e-19	0.0650930784508167	0.259338055920368	0	1.67942299913208e-06	0.395810136629877	0.175059548620269	0.587722993178627	0.0515779212225741	0.370610710682166	0.450156786177346	0.245263446260885	1.55763772842974e-07	0.000101890678094786	0.203462131015482	7.92996971511365e-05	0.14279262140351	0.990632896143023	0.942747182725126	0.538698362466933	0.102943615162791	2.04284785704718e-07	0.129057288527264	1.05485774745959e-06	0.37832629902697	0.000432227077037296	0.00295845989464804	0.0278661213409131	0.106285517116484	0.000362127487359552
"UCG_002"	0.0379897174941514	3.49347810785558e-09	1.96942526459229e-11	0.529700716774812	0.00700807554848044	0.659519310944955	3.62012465578575e-13	0.00226267817128422	0.0326804635257668	0.00740673406649406	0.921737641925496	8.37366976896053e-20	0.558106775631212	4.25966178347921e-16	1.10286339238797e-07	0.00240137732239976	0.55756583416029	0.29226733634894	0.0604565390054268	5.38485412259699e-19	2.8196860517039e-12	0.000116890992566705	0.0130514145944107	1.67942299913208e-06	0	1.67624274920976e-07	0.30548109461009	0.134027641042464	1.29089224108753e-23	0.000684824546680084	0.00201311143876373	8.11760263873588e-05	0.00590676512873585	2.97023261458735e-17	4.49614995089386e-12	8.9328759144384e-16	0.984827266377004	0.0236579288025298	1.75924287630233e-08	0.00290661316723255	0.000243787138865897	1.92188139794555e-25	5.40153082269425e-16	7.03358535062926e-06	2.11817884991475e-07	0.141882038515181	0.569542763970914	1.01704960390673e-05	0.0145701580298864	0.00848538757594556
"gnavus_group"	0.00780832845012741	1.99057318509123e-05	1.41039773965977e-07	0.0155034071099715	0.0982238099273392	0.541733496940837	2.59900202463218e-06	0.395616925007979	0.131110085195405	0.910263738190263	0.753207768011847	0.000235385946048099	0.649142153074009	2.48323228459466e-08	0.000725023503042153	0.10975578367918	0.533183524002448	0.130138100902502	0.276656960509856	0.00295873774379043	0.136345097949012	0.579083529457122	2.55865817856588e-10	0.395810136629877	1.67624274920976e-07	0	0.996192225555632	0.019274242294155	8.3515309951748e-10	6.63648988983744e-14	0.00184084828339894	0.0164040529506579	0.0678187777071484	1.48432793598524e-07	3.77274977689854e-06	9.22766883489799e-09	0.762429622731739	0.140870650464853	0.00010389383314622	0.582170933993991	0.021069429447338	0.000155126763274468	1.31035926521278e-06	0.501885784828348	1.44089452325867e-06	0.00911097746029286	0.000680770119214839	0.00109963351295032	0.133000360896611	1.94992854390612e-05
"Romboutsia"	0.396907969399063	0.960731159257798	0.0629728441691387	0.50697928505711	0.277016261334662	0.0708087724758691	0.0167762569859786	0.0858026512998652	0.490997917868646	0.361433180968151	0.501352598306065	0.473933804241722	1.41306089319265e-12	0.00546312555455757	0.0592076041876673	0.111047860680304	0.00526385877221009	0.00121428439485645	0.0367160262268872	0.324648488202459	0.276872459503517	0.687499554357467	0.657270253855574	0.175059548620269	0.30548109461009	0.996192225555632	0	0.165104486262366	0.122741978961062	0.533318411250597	0.00853004523729633	0.0086111747808661	0.0549644491850339	0.14967070352021	0.000261194070939685	0.0107591225881334	0.342598066760642	0.00940031038332151	0.306075160209664	0.00376669572608615	0.567757597238719	0.93968571102857	0.0134348204232231	0.350703433200797	0.00818287867842721	0.526552179755113	0.047214944707839	0.0590162019223499	0.000485212731487216	0.224303154159252
"Veillonella"	0.697344642772832	0.436193368527817	0.0372765394059377	0.449187612147846	0.115370137336036	0.00162773529247528	0.276267338540295	0.268672225077598	0.183415944738076	0.300168164874829	0.0187621942228171	0.0186722937838312	0.482020896157204	0.308696165275414	0.512045355877148	0.693152347580312	0.130713538664551	5.48797643901787e-07	0.0353798829943433	0.0107516932109051	0.0233014122198742	0.187740640171338	0.821471703609391	0.587722993178627	0.134027641042464	0.019274242294155	0.165104486262366	0	0.950998491101359	0.444560749891112	0.569696833536962	0.0197644987672479	0.00194639716628825	0.498190844702999	0.702966139699759	0.923575046967095	0.0384898747043546	0.00217845232681414	0.0295032383358064	0.0647171574237493	0.176838953789835	0.184689756480385	0.634935743592821	0.0213360995593314	0.702608193572262	0.262309321533885	0.00194179178101578	0.0105829463077281	0.988448905536558	0.786241869401679
