index,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Group,sampleid_description
C62,0.0,8822.0,958.0,0.0,0.0,16522.0,0.0,12.0,1677.0,0.0,0.0,C,C62
C63,0.0,146.0,1370.0,0.0,16.0,16463.0,0.0,0.0,710.0,0.0,0.0,C,C63
C64,0.0,15.0,115.0,0.0,0.0,13074.0,240.0,0.0,2412.0,0.0,0.0,C,C64
C71,0.0,789.0,37.0,0.0,0.0,11575.0,0.0,117.0,9138.0,0.0,0.0,C,C71
C72,0.0,4788.0,880.0,0.0,82.0,18691.0,0.0,77.0,415.0,0.0,0.0,C,C72
C73,3.0,833.0,22.0,0.0,11.0,12917.0,1772.0,150.0,284.0,0.0,0.0,C,C73
C74,0.0,144.0,28.0,0.0,0.0,7751.0,0.0,12.0,13373.0,0.0,0.0,C,C74
C75,63.0,323.0,1203.0,0.0,23.0,17792.0,0.0,0.0,38.0,0.0,173.0,C,C75
C76,0.0,733.0,1877.0,0.0,0.0,13029.0,0.0,0.0,169.0,0.0,0.0,C,C76
C77,0.0,1601.0,3.0,0.0,0.0,16325.0,0.0,21.0,4542.0,0.0,0.0,C,C77
C78,0.0,88.0,5.0,0.0,0.0,4110.0,0.0,0.0,20298.0,0.0,2.0,C,C78
C79,0.0,6221.0,3356.0,0.0,0.0,8190.0,0.0,0.0,290.0,0.0,0.0,C,C79
C80,0.0,2860.0,102.0,0.0,0.0,14223.0,0.0,8.0,17.0,0.0,0.0,C,C80
C81,12.0,264.0,1984.0,0.0,180.0,13403.0,0.0,0.0,282.0,0.0,0.0,C,C81
C82,0.0,5197.0,205.0,0.0,221.0,1940.0,6.0,139.0,13736.0,0.0,0.0,C,C82
C83,0.0,5058.0,11.0,0.0,0.0,11035.0,0.0,6.0,53.0,0.0,0.0,C,C83
C84,0.0,111.0,2401.0,0.0,22.0,9963.0,3.0,0.0,117.0,0.0,3.0,C,C84
C85,120.0,446.0,171.0,0.0,14.0,11981.0,0.0,0.0,28.0,5.0,6.0,C,C85
C86,0.0,10125.0,513.0,0.0,89.0,9378.0,0.0,149.0,261.0,0.0,0.0,C,C86
C87,0.0,126.0,1233.0,0.0,0.0,17195.0,0.0,0.0,2698.0,0.0,0.0,C,C87
C88,55.0,939.0,334.0,0.0,0.0,12160.0,0.0,10.0,1284.0,0.0,0.0,C,C88
