	W	Reject null hypothesis
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Allisonella	41	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Eubacterium__xylanophilum_group	40	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	37	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	37	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	36	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Anaerovoracaceae;__	36	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	36	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella	35	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	33	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__	32	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter	32	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	32	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	30	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Clostridium__methylpentosum_group;g___Clostridium__methylpentosum_group	30	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	30	False
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__Raoultibacter	29	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	29	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG_003	29	False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	28	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Anaerovoracaceae;g___Eubacterium__brachy_group	27	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	27	False
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	27	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	27	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Catabacter	26	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	26	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcales_Tissierellales;g__Parvimonas	25	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	25	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA_900066755	25	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter	25	False
