"OTUID"	"Taxonomy"	"SUM_Abundance"
"06c8239955703dcaaa5fd469eeec1358"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_intestinalis"	949
"db57577f4e118b32fffd451bf0e6a3a1"	"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella"	58
"ae3d54aeb046f9850348d558f3ad2a12"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae"	234
"e9716bb6aa1c59bcd73851e74ded543a"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Selenomonadaceae;g__Megamonas"	101
"51d797506449773b65286eb52548d52f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1"	288
"4849ebeb7e7a11220d7f32bd7d1cd304"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	26
"2d246f881119e010f12030e936fb6401"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	209
"3a635b5a10aa7451089bc73c72236e5c"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	257
"47dc2f3cb6005dc3fb6c796743593b19"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella"	226
"ee54b4e87897aa8e9c04e7d96fdf8490"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus"	49
"6eb45223bd6fc5296ea0d77ef6e66bb0"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	1498
"5a37280b7ebd0cde9e6913e7b7880380"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG_005"	97
