OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
9cb986fb9a5d33f51977148b33c14fcb	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Coprococcus
d6403e5b4389d1c8f2e1c218c0a59134	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Veillonellaceae	 Veillonella
66d5d9f8947998d5f49d929f0ad8013b	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium_dentium
3adfcfa6caaacaa41dc7571330a74676	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnospiraceae_NK4A136_group
19ff2a801156e1930f697799d400fa95	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 [Eubacterium]_ruminantium_group	 uncultured_bacterium
bc0730096682c48820678c59700fe66f	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 Massiliprevotella_massiliensis
bc712d9356e40b4fcfbca97ff092ac3d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella
400ef329b2c43b49217289537bb77633	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia
85e5f4133e5ea47da3e24828bdf463f5	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-002
0bb47f6e088c63eec1cf288aebc80ab3	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus_mucosae
9be8e4d4919ec569eb355cb676c02eef	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 Flavonifractor
866ea1cc638e4ceb9195a8a6a1869754	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
d4d386b7d01baf327f6b43aa568cb9e7	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
bf37c87f8841a9f1a2cd20db4fa18b74	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-002	 uncultured_organism
e412a7bdbe75c4cbe282f912ab058e1b	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnoclostridium	 [Clostridium]_scindens
62c336937d9c98f93521f014e1f21a63	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Butyricicoccus
572be56789b840dc21f0dfad380396b3	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
07a4ebc17457d604828143eb89402eec	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
cbe2abdf95ba4f41c1453328d1e0230c	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnoclostridium
bdbb5fdc4d34af060626d35b3c3d3429	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 Collinsella_tanakaei
74465b89e65f403ae63ea79e1aa9f55c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae
d1d2824a959bbaf91a52ff511742c082	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium
0eebf22536faa70d10968eb4972b2736	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Sutterellaceae	 Parasutterella
edc06e5f20535c71071803ccc27290d8	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Dorea	 Dorea_formicigenerans
b0cce80cd5e1c78e70e026edb63a65f9	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
7931ef4ba7852a196ef9674b8fc64631	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 uncultured
101637aba474a6614786486ad42acb11	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus
a00b4fdac316fe32b233507d015a5712	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 CAG-56	 uncultured_bacterium
c8dc9b3d3fe7d5d30227f040164be382	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella
52b8635fa313bec7ef0c00eb32f60055	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella
ff7742e8ae81884ad8b0c734a69837f3	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella
8d83490106a0b4ac9bae742775c3cb6c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Tannerellaceae	 Parabacteroides
e655845f5f4ce1633524c0c9a0b15927	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnospira	 uncultured_bacterium
919b532172c46bbbeb75cf8fe50567c8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae
902d8f67d3ef7fec32c8b3b3c1ad0ba3	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Eisenbergiella
e3c9c2a072b1dd41a3d26f812f5c5f0e	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Veillonellaceae	 Veillonella
f1681bcc5274382eaf70ad85491c837e	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_stercoris
37020b47521b3745084f867b8c1f7bc3	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium
9c56ef00debbb4020b660358049fd6cc	Bacteria	 Firmicutes	 Clostridia	 Christensenellales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_prokaryote
8eb4e34fd58ab95fa2efab34940c01fa	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella
09ad3f07c79e7bbc78206689dc55492d	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 Oscillibacter
51d884cb2660dd8b33068678bad40357	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae
2555ab896130cd0373de325088a94110	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae
388593d9c75e706ae2205ba447ab5a25	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Veillonellaceae	 Megasphaera	 Megasphaera_hexanoica
f633cf95435defb67b3de0a9b69bb3cf	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium_bifidum
26547c96837ae7efcfa67fca0cc71140	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_fragilis
0bee1e43930c6fa41c6fd4e727550c98	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
6e7317c14238561fe5865674e3a3206d	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus
2bbe9c631915caca16bc789f44d9ca8d	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
2ab424bb8819d10f58e3059611aeb88c	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnoclostridium
d6fb5a6d274b2864d58729b26b6573e5	Bacteria	 Firmicutes	 Clostridia	 Clostridia_UCG-014	 Clostridia_UCG-014	 Clostridia_UCG-014
f7d40e3c3a3e3a250186ad650ae6ae42	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae
1f0481c4fc1ddc5a118dd691b40a1670	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_plebeius
5bd72dc839fc73528c45596ca62b77f8	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Eisenbergiella
2baedfaac1d2452a2cd04f3041b306cc	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_fragilis
60bed339f40d58c6de65c2b894d2132e	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-002
7a5b875cf99ddb93b84ed03d5105530d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Enterobacter
675ff6627272028b678fc6742e0dafcb	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcaceae	 Clostridioides
06858df2fbd352aedac92c93a62a4b5a	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 [Ruminococcus]_torques_group
d6bff94349f93df9c98368bfbc740ed0	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae
e9398bc0ad9626bc4742c93fd0363bac	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Ruminococcus	 Ruminococcus_bicirculans
4f334be4123a36681c1ab5f8a0ab86d1	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae
e0d1e3fa2e10e95e235a220259e73b2c	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Veillonellaceae	 Veillonella
f14141d03c23f3658014090c72c23866	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus
d9c2fb5408c4596dfdd88319674acdce	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Selenomonadaceae	 Megamonas
4db1fea078c898d625f5c35efb71fa65	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella
257a3feb1cfa43f2c55429863b0f16b3	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group	 gut_metagenome
06f4e7cdceb19af8b47855411e1692ac	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Eggerthellaceae	 Eggerthella
a76bceb8556d98d20da8b2e65d2a974d	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	 Eubacterium_ramulus
a39d801345fa448b725cc560f78f64bd	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae
f6bea811a0e624f01bbe51db2846dd48	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter
d4b9487f80a46f105daa14816456c5f6	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 NK4A214_group
177fbc8060a7d68921bd129e6e644061	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 [Eubacterium]_eligens_group
16af97c9cd594e26b3f7685345fc8cd3	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-005	 uncultured_organism
78c2b8e06a58a133919d9e5fd0cd2da1	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Hungatella
552875105b96c443a53b7f82ebf3e75b	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
3fd0c1aebeadfd9c4f8a66a6680b310f	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-005
