Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11825904_1	SRR11825904_1.fastq	Conventional base calls	Sanger / Illumina 1.9	44976.0	0.0	297.0	53.0	9.224919957310565	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825904_2	SRR11825904_2.fastq	Conventional base calls	Sanger / Illumina 1.9	44976.0	0.0	299.0	53.0	17.59827463536108	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825905_1	SRR11825905_1.fastq	Conventional base calls	Sanger / Illumina 1.9	45585.0	0.0	297.0	53.0	12.59405506197214	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825905_2	SRR11825905_2.fastq	Conventional base calls	Sanger / Illumina 1.9	45585.0	0.0	299.0	53.0	20.157946692991118	299.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825906_1	SRR11825906_1.fastq	Conventional base calls	Sanger / Illumina 1.9	67511.0	0.0	298.0	57.0	8.11127075587682	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825906_2	SRR11825906_2.fastq	Conventional base calls	Sanger / Illumina 1.9	67511.0	0.0	301.0	57.0	21.024721897172313	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825907_1	SRR11825907_1.fastq	Conventional base calls	Sanger / Illumina 1.9	59650.0	0.0	295.0	56.0	9.418273260687343	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825907_2	SRR11825907_2.fastq	Conventional base calls	Sanger / Illumina 1.9	59650.0	0.0	295.0	57.0	23.726739312657166	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825908_1	SRR11825908_1.fastq	Conventional base calls	Sanger / Illumina 1.9	65291.0	0.0	296.0	54.0	11.021427149224241	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825908_2	SRR11825908_2.fastq	Conventional base calls	Sanger / Illumina 1.9	65291.0	0.0	298.0	55.0	23.580585379301894	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825909_1	SRR11825909_1.fastq	Conventional base calls	Sanger / Illumina 1.9	50394.0	0.0	297.0	55.0	12.55308171607731	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825909_2	SRR11825909_2.fastq	Conventional base calls	Sanger / Illumina 1.9	50394.0	0.0	299.0	54.0	20.52228439893638	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825910_1	SRR11825910_1.fastq	Conventional base calls	Sanger / Illumina 1.9	50934.0	0.0	295.0	52.0	9.692935956335651	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825910_2	SRR11825910_2.fastq	Conventional base calls	Sanger / Illumina 1.9	50934.0	0.0	295.0	53.0	20.61491341736365	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825911_1	SRR11825911_1.fastq	Conventional base calls	Sanger / Illumina 1.9	51725.0	0.0	296.0	53.0	11.648139197680038	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825911_2	SRR11825911_2.fastq	Conventional base calls	Sanger / Illumina 1.9	51725.0	0.0	298.0	53.0	25.63750604156597	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825912_1	SRR11825912_1.fastq	Conventional base calls	Sanger / Illumina 1.9	48372.0	0.0	297.0	55.0	12.102042503927892	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825912_2	SRR11825912_2.fastq	Conventional base calls	Sanger / Illumina 1.9	48372.0	0.0	299.0	54.0	20.668982055734723	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825913_1	SRR11825913_1.fastq	Conventional base calls	Sanger / Illumina 1.9	61671.0	0.0	298.0	55.0	12.68181154837768	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825913_2	SRR11825913_2.fastq	Conventional base calls	Sanger / Illumina 1.9	61671.0	0.0	301.0	56.0	29.819526195456536	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825914_1	SRR11825914_1.fastq	Conventional base calls	Sanger / Illumina 1.9	63632.0	0.0	295.0	58.0	5.3243650993210965	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825914_2	SRR11825914_2.fastq	Conventional base calls	Sanger / Illumina 1.9	63632.0	0.0	295.0	58.0	14.772441538848376	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825915_1	SRR11825915_1.fastq	Conventional base calls	Sanger / Illumina 1.9	73633.0	0.0	298.0	53.0	10.321459128379939	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825915_2	SRR11825915_2.fastq	Conventional base calls	Sanger / Illumina 1.9	73633.0	0.0	301.0	54.0	27.18346393600695	301.0	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825916_1	SRR11825916_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55114.0	0.0	296.0	53.0	10.962731792285082	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825916_2	SRR11825916_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55114.0	0.0	298.0	53.0	25.913560982690427	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825917_1	SRR11825917_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53928.0	0.0	297.0	53.0	9.484868713840676	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825917_2	SRR11825917_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53928.0	0.0	299.0	53.0	18.127874202640555	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
