Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11825918_1	SRR11825918_1.fastq	Conventional base calls	Sanger / Illumina 1.9	72109.0	0.0	298.0	52.0	11.467361910441138	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825918_2	SRR11825918_2.fastq	Conventional base calls	Sanger / Illumina 1.9	72109.0	0.0	301.0	54.0	27.906363976757408	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825919_1	SRR11825919_1.fastq	Conventional base calls	Sanger / Illumina 1.9	59843.0	0.0	295.0	56.0	4.969670638169878	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825919_2	SRR11825919_2.fastq	Conventional base calls	Sanger / Illumina 1.9	59843.0	0.0	295.0	57.0	15.896596093110304	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825920_1	SRR11825920_1.fastq	Conventional base calls	Sanger / Illumina 1.9	61968.0	0.0	296.0	58.0	11.696359411309063	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825920_2	SRR11825920_2.fastq	Conventional base calls	Sanger / Illumina 1.9	61968.0	0.0	298.0	58.0	24.133423702556158	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825921_1	SRR11825921_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53001.0	0.0	297.0	56.0	10.729986226674969	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825921_2	SRR11825921_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53001.0	0.0	299.0	56.0	18.71851474500481	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825922_1	SRR11825922_1.fastq	Conventional base calls	Sanger / Illumina 1.9	75478.0	0.0	298.0	57.0	9.981716526670024	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825922_2	SRR11825922_2.fastq	Conventional base calls	Sanger / Illumina 1.9	75478.0	0.0	301.0	57.0	24.526352049603858	301.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825923_1	SRR11825923_1.fastq	Conventional base calls	Sanger / Illumina 1.9	39519.0	0.0	295.0	60.0	7.042182241453478	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825923_2	SRR11825923_2.fastq	Conventional base calls	Sanger / Illumina 1.9	39519.0	0.0	295.0	59.0	18.66443988967332	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825924_1	SRR11825924_1.fastq	Conventional base calls	Sanger / Illumina 1.9	38380.0	0.0	296.0	58.0	12.094841063053675	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825924_2	SRR11825924_2.fastq	Conventional base calls	Sanger / Illumina 1.9	38380.0	0.0	298.0	57.0	25.72954663887441	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825925_1	SRR11825925_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28061.0	0.0	297.0	55.0	11.499946545026905	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825925_2	SRR11825925_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28061.0	0.0	299.0	55.0	21.624318449093046	299.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825926_1	SRR11825926_1.fastq	Conventional base calls	Sanger / Illumina 1.9	42351.0	0.0	295.0	54.0	7.905362329106751	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825926_2	SRR11825926_2.fastq	Conventional base calls	Sanger / Illumina 1.9	42351.0	0.0	295.0	55.0	21.86961346839508	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825927_1	SRR11825927_1.fastq	Conventional base calls	Sanger / Illumina 1.9	37384.0	0.0	298.0	56.0	9.011876738711749	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
